time,Entry
1,145
2,154
3,140
4,144
5,131
6,129
7,109
8,111
9,96
10,76
11,63
12,56
13,150
14,151
15,141
16,147
17,140
18,127
19,103
20,108
21,98
22,82
23,77
24,63
25,146
26,150
27,145
28,142
29,135
30,126
31,123
32,117
33,109
34,92
35,81
36,68
37,147
38,145
39,140
40,149
41,137
42,127
43,154
44,133
45,121
46,115
47,109
48,95
49,119
50,112
51,121
52,122
53,120
54,122
55,104
56,108
57,94
58,78
59,69
60,62
61,112
62,105
63,113
64,113
65,113
66,112
67,113
68,111
69,98
70,84
71,75
72,63
73,162
74,154
75,146
76,139
77,132
78,122
79,115
80,113
81,106
82,86
83,75
84,67
